Name,Description,Input
1ycr,FnIII10 domain,"EEEEEEEEEE,A75–83,EEEEEEEEEE"
1ycr,FnIII10 domain,"EEEEEEEEEEEEEEEE,A75–83,EEEEEEEEEEEEEEEE"
1ycr,FnIII10 domain,"EEEEEEEEEEE,A75–83,EEEEEEEEEEE"


