Name,Description,Input
1fna,FnIII10 domain,"EEEEEEEEEEEEEEEEC,A75-83,CEEEEEEEEEEEEEEEE"
1fna,FnIII10 domain,"EEEEEEEEEEEEEEEEEE,A75-83,EEEEEEEEEEEEEEEEEE"

